,seller_id,seller_city_x,seller_state_x,product_id_x,product_category_name_x,seller_city_y,seller_state_y,product_id_y,product_category_name_y,Delivery_time,review_avg,total_orders,total_income
2444,382,curitiba,PR,12,1,curitiba,PR,12,1,9.58,4.5,12,604.9
2445,2700,osasco,SP,1,1,osasco,SP,1,1,2.0,4.0,1,149.0
2446,182,pedrinhas paulista,SP,3,1,pedrinhas paulista,SP,3,1,8.67,4.0,3,195.74
2447,275,belo horizonte,MG,2,2,belo horizonte,MG,2,2,8.0,4.0,2,69.8
2448,3062,caratinga,MG,3,1,caratinga,MG,3,1,14.33,4.0,3,391.15
2449,2414,belo horizonte,MG,4,2,belo horizonte,MG,4,2,25.0,2.5,4,457.69
2450,2325,sao paulo sp,SP,1,1,sao paulo sp,SP,1,1,29.0,3.0,1,390.0
2451,2558,sao paulo,SP,2,1,sao paulo,SP,2,1,4.0,5.0,2,141.0
2452,2632,igrejinha,RS,6,1,igrejinha,RS,6,1,11.33,4.33,6,596.96
2453,940,guaruja,SP,3,1,guaruja,SP,3,1,6.33,3.67,3,684.0
2454,1104,petropolis,RJ,1,1,petropolis,RJ,1,1,,1.0,1,48.9
2455,1523,bauru,SP,1,0,bauru,SP,1,0,5.0,5.0,1,109.0
2456,2025,mandaguari,PR,4,1,mandaguari,PR,4,1,18.0,5.0,4,1716.0
2457,339,sao paulo,SP,5,1,sao paulo,SP,5,1,7.8,5.0,5,825.0
2458,1841,cravinhos,SP,3,1,cravinhos,SP,3,1,2.0,1.0,3,138.60000000000002
2459,1308,sao paulo,SP,3,0,sao paulo,SP,3,0,8.0,3.67,3,269.0
2460,2203,sao bernardo do campo,SP,11,1,sao bernardo do campo,SP,11,1,5.45,4.73,11,1399.62
2461,804,sao paulo,SP,3,1,sao paulo,SP,3,1,5.0,2.33,3,1151.0
2462,977,rio do oeste,SC,3,1,rio do oeste,SC,3,1,8.0,4.0,3,79.69999999999999
2463,2337,rio de janeiro,RJ,1,1,rio de janeiro,RJ,1,1,7.0,4.0,1,59.9
2464,936,sao paulo,SP,6,1,sao paulo,SP,6,1,19.67,1.67,6,570.0
2465,2746,arapongas,PR,3,2,arapongas,PR,3,2,11.0,2.33,3,387.0
2466,2296,sao paulo,SP,2,1,sao paulo,SP,2,1,10.0,3.0,2,33.8
2467,91,sorocaba,SP,6,1,sorocaba,SP,6,1,8.0,4.67,6,106.80000000000001
2468,451,catanduva,SP,5,2,catanduva,SP,5,2,7.8,4.4,5,1281.59
2469,2896,tubarao,SC,1,1,tubarao,SC,1,1,,1.0,1,1199.0
2470,1008,triunfo,RS,3,2,triunfo,RS,3,2,11.67,5.0,3,261.70000000000005
2471,984,dois corregos,SP,6,1,dois corregos,SP,6,1,13.5,4.33,6,351.7
2472,55,lajeado,RS,1,1,lajeado,RS,1,1,4.0,5.0,1,289.49
2473,1089,campinas,SP,2,1,campinas,SP,2,1,5.0,5.0,2,139.8
2474,2880,bauru,SP,4,2,bauru,SP,4,2,10.25,4.5,4,185.70000000000002
2475,1475,campinas,SP,3,1,campinas,SP,3,1,10.0,3.67,3,146.01
2476,1999,blumenau,SC,9,2,blumenau,SC,9,2,10.78,4.89,9,1281.5
2477,687,aguas claras df,SP,1,1,aguas claras df,SP,1,1,7.0,1.0,1,35.0
2478,1935,rio de janeiro,RJ,2,1,rio de janeiro,RJ,2,1,,1.0,2,27.98
2479,1965,santana de parnaiba,SP,4,2,santana de parnaiba,SP,4,2,9.75,3.0,4,385.0
2480,1146,sao paulo,SP,1,1,sao paulo,SP,1,1,8.0,5.0,1,1322.64
2481,810,porto alegre,RS,5,2,porto alegre,RS,5,2,9.6,4.8,5,2349.0
2482,867,diadema,SP,2,1,diadema,SP,2,1,6.0,5.0,2,76.0
2483,1740,porto alegre,RS,2,1,porto alegre,RS,2,1,24.5,3.0,2,133.8
2484,1425,sao carlos,SP,2,1,sao carlos,SP,2,1,7.0,5.0,2,398.0
2485,726,jacarei,SP,2,1,jacarei,SP,2,1,17.0,4.0,2,12.0
2486,1669,taboao da serra,SP,1,1,taboao da serra,SP,1,1,,1.0,1,130.0
2487,1562,sao paulo,SP,2,1,sao paulo,SP,2,1,11.0,3.0,2,84.0
2488,1805,uberlandia,MG,1,1,uberlandia,MG,1,1,7.0,2.0,1,180.0
2489,1287,sao sebastiao da grama/sp,SP,1,1,sao sebastiao da grama/sp,SP,1,1,4.0,5.0,1,61.9
2490,2838,salvador,BA,2,1,salvador,BA,2,1,8.0,3.0,2,64.0
2491,2210,passos,MG,1,0,passos,MG,1,0,15.0,3.0,1,86.5
2492,608,rio de janeiro,RJ,4,1,rio de janeiro,RJ,4,1,6.5,5.0,4,213.2
2493,882,lagoa da prata,MG,3,1,lagoa da prata,MG,3,1,12.67,5.0,3,143.7
2494,1073,capivari,SP,8,1,capivari,SP,8,1,9.5,4.75,8,178.68
2495,591,praia grande,SP,1,1,praia grande,SP,1,1,14.0,5.0,1,199.99
2496,3009,ferraz de vasconcelos,SP,1,1,ferraz de vasconcelos,SP,1,1,,4.0,1,125.9
2497,1616,francisco beltrao,PR,2,1,francisco beltrao,PR,2,1,5.0,5.0,2,134.9
2498,2893,sao paulo,SP,1,1,sao paulo,SP,1,1,13.0,4.0,1,299.0
2499,2440,paulinia,SP,14,3,paulinia,SP,14,3,19.58,3.36,14,248.6
2500,1530,picarras,SC,4,1,picarras,SC,4,1,10.25,4.5,4,759.0
2501,2688,jaragua do sul,SC,2,1,jaragua do sul,SC,2,1,5.5,4.5,2,84.0
2502,2071,sao paulo,SP,1,0,sao paulo,SP,1,0,,1.0,1,49.6
2503,3049,votorantim,SP,4,1,votorantim,SP,4,1,6.5,5.0,4,118.69999999999999
2504,1768,porto alegre,RS,5,2,porto alegre,RS,5,2,16.0,4.4,5,1904.0
2505,1687,sao  jose dos pinhais,PR,2,1,sao  jose dos pinhais,PR,2,1,10.0,5.0,2,1598.0
2506,523,castro pires,MG,1,1,castro pires,MG,1,1,7.0,5.0,1,334.99
2507,1650,palhoca,SC,7,2,palhoca,SC,7,2,8.43,4.71,7,409.75
2508,1312,sao paulo,SP,5,1,sao paulo,SP,5,1,16.6,3.0,5,8070.0
2509,2424,sao bernardo do campo,SP,2,1,sao bernardo do campo,SP,2,1,,1.0,2,75.0
2510,221,sao paulo,SP,6,1,sao paulo,SP,6,1,9.83,2.17,6,2570.5
2511,180,franca,SP,4,2,franca,SP,4,2,14.5,3.75,4,369.81
2512,2087,santa terezinha de goias,GO,9,1,santa terezinha de goias,GO,9,1,9.67,3.22,9,302.1
2513,2794,barueri,SP,5,1,barueri,SP,5,1,20.8,4.8,5,484.0
2514,2016,jarinu,SP,1,1,jarinu,SP,1,1,8.0,5.0,1,14.63
2515,675,curitiba,PR,1,1,curitiba,PR,1,1,7.0,5.0,1,24.99
2516,2388,atibaia,SP,1,1,atibaia,SP,1,1,5.0,4.0,1,319.0
2517,874,sao bernardo do campo,SP,1,1,sao bernardo do campo,SP,1,1,7.0,5.0,1,149.9
2518,1012,itapetininga,SP,2,1,itapetininga,SP,2,1,16.0,4.5,2,159.98
2519,846,dores de campos,MG,1,0,dores de campos,MG,1,0,18.0,5.0,1,75.0
2520,286,maua,SP,3,2,maua,SP,3,2,9.0,4.67,3,359.70000000000005
2521,44,uberlandia,MG,3,1,uberlandia,MG,3,1,20.67,4.33,3,359.70000000000005
2522,1789,palhoca,SC,7,1,palhoca,SC,7,1,7.0,3.71,7,968.6999999999999
2523,224,caxias do sul,RS,6,2,caxias do sul,RS,6,2,9.5,3.5,6,798.0
2524,1533,garca,SP,4,1,garca,SP,4,1,8.0,3.75,4,126.0
2525,2769,brusque,SC,5,2,brusque,SC,5,2,20.0,4.2,5,2908.0
2526,2364,apucarana,PR,3,2,apucarana,PR,3,2,12.33,5.0,3,407.81
2527,2609,sao paulo,SP,4,2,sao paulo,SP,4,2,13.5,3.5,4,74.6
2528,209,sao paulo,SP,5,2,sao paulo,SP,5,2,9.6,3.6,5,802.89
2529,1268,formiga,MG,7,3,formiga,MG,7,3,4.86,4.71,7,666.9
2530,1949,jundiai,SP,1,1,jundiai,SP,1,1,17.0,5.0,1,1658.83
2531,2532,pato branco,PR,1,1,pato branco,PR,1,1,,2.0,1,49.7
2532,2298,sao paulo,SP,3,1,sao paulo,SP,3,1,16.67,3.67,3,179.7
2533,1141,sao paulo,SP,8,0,sao paulo,SP,8,0,28.29,3.88,8,15232.0
